title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
Beneath,2013,UNRATED,Fri Jul 25 2014 00:00:00 GMT-0400 (EDT),89 min,Adventure; Horror,Ben Ketai,Brent Briscoe; Kurt Caceres; Eric Etebari; Jeff Fahey,Samantha Sam Marsh is in a bar during her fathers retirement party After growing up in a small town coal mining community shes decided to study environmental law instead of following in her fathers footsteps Her father has been struck with an illness related to his many years of mining coal and he can no longer work without risking his life When the miners in the bar declare that Sams whole life is painting her nails and checking Facebook and that she could never be a coal miner Sam decides to prove them wrong and go down below with them Unfortunately while down beneath the ground the mine shaft collapses and she her father and the other miners are trapped below some killed instantly and others injured Those left alive start to slowly go crazy as the oxygen runs out and they worry that theyll suffer the same fate as the urban legendary 19 nineteen miners buried alive and left for dead in the 1920s,English,USA,6 wins & 1 nomination,5.5/10,44%,34/100,34,5.5,movie,N/A,IFC Films
American Hustle,2013,R,Fri Dec 20 2013 00:00:00 GMT-0500 (EST),138 min,Crime; Drama,David O. Russell,Christian Bale; Bradley Cooper; Amy Adams; Jeremy Renner,A fictional film set in the alluring world of one of the most stunning scandals to rock our nation American Hustle tells the story of brilliant con man Irving Rosenfeld (Christian Bale) who along with his equally cunning and seductive British partner Sydney Prosser (Amy Adams) is forced to work for a wild FBI agent Richie DiMaso (Bradley Cooper) DiMaso pushes them into a world of Jersey powerbrokers and mafia thats as dangerous as it is enchanting Jeremy Renner is Carmine Polito the passionate volatile New Jersey political operator caught between the con-artists and Feds Irvings unpredictable wife Rosalyn (Jennifer Lawrence) could be the one to pull the thread that brings the entire world crashing down,English; Arabic,USA,Nominated for 10 Oscars Another 70 wins & 208 nominations,7.3/10,93%,90/100,90,7.3,movie,"$99,165,609",Sony Pictures
Apartment 1303 3D,2012,R,Thu Jul 25 2013 00:00:00 GMT-0400 (EDT),85 min,Horror,Michael Taverna,Mischa Barton; Julianne Michelle; Rebecca De Mornay; Corey Sevier,In Detroit Janet Slate is happy since she has just rented the apartment 1303 of the Lake View Residence and will leave her alcoholic mother Maddie Slate She calls her sister Lara to tell the news and she meets the girl Emily who is her next door neighbor Emily tells her that a girl Jennifer has killed her mother many years ago and jumped off the balcony committing suicide She also tells her to leave the apartment Janet hears strange noises in the apartment and she calls her boyfriend Mark Taylor to spend the night with her When Mark leaves the apartment Jennifer throws Janet off balcony The detective in charge of the investigation tells Lara that there are several cases of women committing suicide in that apartment but he believes that someone has filled them Lara decides to move to Janets apartment despite what has happened there,English,Canada; USA,N/A,2.6/10,N/A,N/A,N/A,2.6,movie,N/A,Gravitas Ventures
The Best Man Holiday,2013,R,Fri Nov 15 2013 00:00:00 GMT-0500 (EST),123 min,Comedy; Drama,Malcolm D. Lee,Monica Calhoun; Morris Chestnut; Melissa De Sousa; Taye Diggs,When college friends reunite after 15 years over the Christmas holidays they discover just how easy it is for long-forgotten rivalries and romances to be reignited,English,USA,3 wins & 15 nominations,6.7/10,70%,59/100,59,6.7,movie,N/A,Universal Pictures
Baggage Claim,2013,PG-13,Fri Sep 27 2013 00:00:00 GMT-0400 (EDT),96 min,Comedy,David E. Talbert,Paula Patton; Derek Luke; Taye Diggs; Boris Kodjoe,Determined to get engaged before her youngest sisters wedding flight attendant Montana Moore (Paula Patton) finds herself with only 30 days to find Mr Right Using her airline connections to accidentally meet up with eligible ex-boyfriends and scour for potential candidates she racks up more than 30000 miles and countless comedic encounters all the while searching for the perfect guy,English,USA,1 nomination,5.1/10,16%,34/100,34,5.1,movie,"$17,262,017",Fox Searchlight
47 Ronin,2013,PG-13,Wed Dec 25 2013 00:00:00 GMT-0500 (EST),128 min,Action; Adventure; Drama,Carl Rinsch,Keanu Reeves; Hiroyuki Sanada; Ko Shibasaki; Tadanobu Asano,While hunting in the forest Lord Asano of Ako and his samurai find a young half-breed and take him with them to live in the castle Several years later Lord Asano holds a tournament to welcome the Shogun to Ako The night after the tournament Lord Asano is bewitched into hurting Lord Kira of Nagato and is punished into committing seppuku by the Shogun Realizing that it was a Lord Kiras evil plot the samurais and the half-breed sets out for revenge against the Shoguns order,English; Japanese,USA,5 nominations,6.3/10,15%,28/100,28,6.3,movie,"$20,518,224",Universal Pictures
Battle of the Year,2013,PG-13,Fri Sep 20 2013 00:00:00 GMT-0400 (EDT),110 min,Drama; Music,Benson Lee,Josh Holloway; Laz Alonso; Josh Peck; Caity Lotz,The producer Dante Graham promotes a group of b-boys expecting to bring the Battle of the Year Trophy back to the USA that have not won it in fifteen years He hires his friend and former basketball coach Jason Blake that grieves the loss of his wife and son to prepare his team Blake fires the whole team since they do not have motivation and decides to select a new group of dancers under the nickname of Dream Team He also hires the youngster Franklyn and the choreographer of break-dance Stacy to help him Along the months Blake tries to implement teamwork and works hard with the group In the competition in France he has a great surprise,English,USA,1 nomination,5.0/10,6%,29/100,29,5,movie,"$8,888,355",Sony Pictures
Black Rock,2012,R,Fri May 17 2013 00:00:00 GMT-0400 (EDT),83 min,Horror; Thriller,Katie Aselton,Katie Aselton; Lake Bell; Kate Bosworth; Will Bouvier,Three women who were good friends in the past get back together for the first time since they were kids to spend time on an island called Black Rock They meet some local hunters and find out they know one of them from when they were children After inviting them to join them in a few drinks on the beach the atmosphere changes into one of panic and horror as the situation and friendships are turned on their head in a brutal confrontation,English,USA,N/A,4.7/10,49%,46/100,46,4.7,movie,N/A,LD Entertainment
All Is Lost,2013,PG-13,Thu Nov 07 2013 00:00:00 GMT-0500 (EST),106 min,Action; Adventure; Drama,J.C. Chandor,Robert Redford,Deep into a solo voyage in the Indian Ocean an unnamed man (Redford) wakes to find his 39-foot yacht taking on water after a collision with a shipping container left floating on the high seas With his navigation equipment and radio disabled the man sails unknowingly into the path of a violent storm Despite his success in patching the breached hull his mariners intuition and a strength that belies his age the man barely survives the tempest Using only a sextant and nautical maps to chart his progress he is forced to rely on ocean currents to carry him into a shipping lane in hopes of hailing a passing vessel But with the sun unrelenting sharks circling and his meager supplies dwindling the ever-resourceful sailor soon finds himself staring his mortality in the face,English,USA,Nominated for 1 Oscar Another 3 wins & 48 nominations,6.9/10,94%,87/100,87,6.9,movie,"$4,300,353",Lionsgate/Roadside Attractions
"Bless Me, Ultima",2013,PG-13,Fri Feb 22 2013 00:00:00 GMT-0500 (EST),106 min,Drama; War,Carl Franklin,Luke Ganalon; Miriam Colon; Benito Martinez; Dolores Heredia,A drama set in New Mexico during WWII centered on the relationship between a young man and an elderly medicine woman who helps him contend with the battle between good and evil that rages in his village,English; Spanish,USA,3 wins,6.4/10,71%,65/100,65,6.4,movie,"$1,559,556",Arenas Entertainment
Black Nativity,2013,PG,Wed Nov 27 2013 00:00:00 GMT-0500 (EST),93 min,Drama; Family; Music,Kasi Lemmons,Forest Whitaker; Angela Bassett; Jennifer Hudson; Tyrese Gibson,In a contemporary adaptation of Langston Hughes celebrated play the holiday musical drama BLACK NATIVITY follows Langston (Jacob Latimore) a street-wise teen from Baltimore raised by a single mother as he journeys to New York City to spend the Christmas holiday with his estranged relatives Reverend Cornell and Aretha Cobbs (Forest Whitaker and Angela Bassett) Unwilling to live by the imposing Reverend Cobbs rules a frustrated Langston is determined to return home to his mother Naima (Jennifer Hudson) Langston embarks on a surprising and inspirational journey and along with his new friends and a little divine intervention he discovers the true meaning of faith healing and family,English,USA,2 wins & 5 nominations,4.5/10,51%,48/100,48,4.5,movie,"$4,894,004",Fox Searchlight
Best Man Down,2012,PG-13,Thu Oct 03 2013 00:00:00 GMT-0400 (EDT),89 min,Comedy; Drama,Ted Koland,Justin Long; Jess Weixler; Tyler Labine; Addison Timlin,The best man at Scott (Long) and Kristins (Weixler) Arizona destination wedding Lumpy (Labine) is the life of the party until a long indulgent night leads to his untimely death Forced to cancel their honeymoon and fly back to Minneapolis to arrange for his funeral Scott and Kristin meet Ramsey (Timlin) and learn that Lumpy isnt quite who they thought he was,English,USA,N/A,6.4/10,33%,36/100,36,6.4,movie,"$1,842",Magnolia Pictures
Beside Still Waters,2013,TV-MA,Fri Nov 14 2014 00:00:00 GMT-0500 (EST),76 min,Comedy; Drama; Romance,Chris Lowell,Ryan Eggold; Beck Bennett; John Lorenger; Brett Dalton,A young man struggles for closure after the death of his parents,English,USA,1 win,6.3/10,64%,42/100,42,6.3,movie,N/A,Tribeca Film
The Bling Ring,2013,R,Fri Jun 21 2013 00:00:00 GMT-0400 (EDT),90 min,Biography; Crime; Drama,Sofia Coppola,Katie Chang; Israel Broussard; Emma Watson; Claire Julien,Inspired by actual events a group of fame-obsessed teenagers use the internet to track celebrities whereabouts in order to rob their homes,English,USA; UK; France; Germany; Japan,4 wins & 7 nominations,5.6/10,60%,66/100,66,5.6,movie,"$5,500,000",A24 Films
Behind the Candelabra,2013,TV-MA,Fri Jun 07 2013 00:00:00 GMT-0400 (EDT),118 min,Biography; Drama; Romance,Steven Soderbergh,Matt Damon; Scott Bakula; Eric Zuckerman; Eddie Jemison,Scott Thorson a young bisexual man raised in foster homes is introduced to flamboyant entertainment giant Liberace and quickly finds himself in a romantic relationship with the legendary pianist Swaddled in wealth and excess Scott and Liberace have a long affair one that eventually Scott begins to find suffocating Kept away from the outside world by the flashily effeminate yet deeply closeted Liberace and submitting to extreme makeovers and even plastic surgery at the behest of his lover Scott eventually rebels When Liberace finds himself a new lover Scott is tossed on the street He then seeks legal redress for what he feels he has lost But throughout the bond between the young man and the star never completely tears,English,USA,Won 2 Golden Globes Another 41 wins & 48 nominations,7.0/10,95%,N/A,N/A,7,movie,"$1,631,647",HBO Films
Blue Ruin,2013,R,Wed Jul 09 2014 00:00:00 GMT-0400 (EDT),90 min,Crime; Drama; Thriller,Jeremy Saulnier,Macon Blair; Ydaiber Orozco; Ronald Sarcos; Dani Santiago,A mysterious outsiders quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance Proving himself an amateur assassin he winds up in a brutal fight to protect his estranged family,English,USA; France,8 wins & 18 nominations,7.1/10,96%,77/100,77,7.1,movie,N/A,Radius-TWC
